Hybridization REF	TCGA-AA-3841-01A-01R-0905-07	TCGA-AA-3866-01A-01R-1022-07	TCGA-AA-3870-01A-01R-1022-07	TCGA-AA-3939-01A-01R-1022-07	TCGA-AA-3941-01A-01R-1022-07	TCGA-AA-3968-01A-01R-1022-07	TCGA-AA-3970-01A-01R-1022-07	TCGA-AA-3977-01A-01R-1022-07	TCGA-AA-3979-01A-01R-1022-07	TCGA-AA-3980-01A-02R-1022-07
TLE1|7088	20.6316175386756	16.5653643837032	14.1484809789824	8.75770954635434	8.11668561244166	3.48143751172732	11.2822379949862	12.6085204173313	5.96136764929841	19.5490459534877
TLE2|7089	46.5853923846451	3.41422166839255	5.16795167989724	17.9698819519008	15.7332554434034	3.45072775742852	18.416269973462	5.25555805603329	5.41914194621178	9.97304043883383
TLE3|7090	15.335433815462	7.27387161612964	9.82574277878371	4.7399569402709	8.96470625423057	8.59130753130186	8.17353183305186	7.91496190108772	6.37325568087984	4.70041145194387
TLE4|7091	2.19986645202289	2.24800661425792	3.48758373709581	1.21270331031425	3.04354405205572	2.0608708898737	2.00393342261165	2.26765976728096	1.08376990007315	2.3255313393268
TLE6|79816	0.390446080676336	0.106309915002564	0.242719216040372	0.179119445510075	0.349012680066492	0.103233026042855	0.367778596370932	0.33748194103507	0.121183191349249	0.107156216821227
TLK1|9874	2.79997030017886	9.00921969772471	5.65427266433211	6.10366631949316	6.99983174060912	10.8683157625625	7.73922908392286	9.23005314690709	6.30641032711347	9.06731461815191
TLK2|11011	3.22562327203085	5.68671120274815	3.44761817579777	4.36511423830036	2.90749942834401	6.03785636641648	7.66311677359087	4.26845565598492	4.36654130856841	6.49581039072218
TLL1|7092	0.0693841122445157	0.0629725796578251	0.102696073390833	0.01768353959957	0.0380831937839565	0.0407666582221435	0.0544633277052591	0	0.0102546787317142	0.11107930007305
TLL2|7093	0.125394651002396	0.0650327936836675	0.0874961036394211	0.045655187885927	0.00842766973552372	0.118407325009802	0.0656193447280133	0.216769650459285	0.0555983993644006	0.016387625134234
TLN1|7094	59.4902472793174	48.6530807001583	46.760736155782	13.8690666258868	9.14037647717147	32.7705587667267	25.4874227946039	21.4219419277412	11.0350317908028	34.0839920957971
TLN2|83660	4.43561522458271	3.05350137287671	2.45238737594905	1.78352486899948	1.86393603766641	2.83703160023486	2.96343408483105	4.01072966435282	1.39387162918812	3.54563642303293
TLR10|81793	0.162771902743494	0.274357098352972	0.423331235702968	0.41484762069424	0.503229125553868	0.666041203180138	0.657094811905518	0.281383680884649	0.226823140264107	0.361630766183337
TLR1|7096	0.431873948741122	2.65801979904156	1.17456798163381	0.426518504477387	0.444458899201669	1.09428687947671	1.00287834047418	1.28318473638762	0.323135049173536	1.34576297928289
TLR2|7097	1.56511846901224	7.91134895745021	2.72194211689705	3.21330445974659	0.736332133296994	1.85832979296283	3.36712554135655	5.44881657494769	0.944548088078357	3.3408659599499
TLR3|7098	0.676400909885219	3.05553364363549	0.655296422532971	2.61720133082425	0.491798224375735	2.33032389816669	2.31684442751589	2.87008479818049	0.381700572513644	1.3500746713686
TLR4|7099	0.860304222864503	6.86614101231903	1.73417370050817	5.86783966950603	2.10722973503577	1.76915211279866	1.75077552900575	5.1816192329404	5.04359010856733	8.10758017228677
TLR5|7100	0.208901535306073	0.937455328265466	0.597781090906183	0.567910003600829	0.174721215392741	0.368220499610567	0.655912277750919	0.300939955218136	0.329330822184195	0.838747556360434
TLR6|10333	0	0.442129424683927	0.210127987288394	0.0709461912471958	0.550041869357347	0.282133137001774	0.291341797764663	0.409032968389772	0.0740550108697464	0.305587944949169
TLR7|51284	0.186025031706851	0.816036497665251	0.488723865608305	0.379289253206162	0.30631338077192	0.717275141886303	0.754442191447076	0.669961144963451	0.226823140264107	0.595627144301966
TLR8|51311	0.108892701486937	1.9766064871959	0.475460662110175	0.333034466229801	0.128075281158991	0.463854586529957	0.39888682348736	0.815718545282329	0.0804694067455812	0.92145802115008
TLR9|54106	3.93665823456746	2.35058290422895	3.12800966351665	1.92213841624799	2.47590721483145	1.15040562515548	1.85405707926862	1.25360761711394	0.992158699845276	1.21307914246667
TLX1NB|100038246	0	0.0746391255880563	0.0182582923254903	0.020959661176111	0.0386902585095244	0.235556336257545	0.0860712218688379	0	0	0.018808326402734
